id_dataset,bulan,perusahaan,jenis,jumlah,total,potensial
360,september,BAPENDA,SKH,250,16625500,tidak
361,september,PD ANANG,LOGISTIK,4,609700,tidak
362,september,BPJS KIS PBI,SKH,0,0,potensial
363,oktober,BPJS KESEHATAN,SKH,896,582000,potensial
364,oktober,BLBI ABIYOSO,PPKH,1150,51330000,potensial
365,oktober,BPKP JABAR,SKH,225,2328000,potensial
366,oktober,RSUD CIBABAT,EXP CORPORATE,0,0,tidak
367,oktober,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
368,oktober,BPJS KETENAGAKERJAAN,SKH,165,1250500,tidak
369,oktober,KPP PRATAMA SOREANG,SKH,5500,26356500,potensial
370,oktober,KPP PRATAMA CIMAHI,SKH,11216,72890500,potensial
371,oktober,ULTRAJAYA MILK INDUSTRY,SKH,404,18125000,potensial
372,oktober,BALAI DIKLAT KEUANGAN,EXP CORPORATE,2,58500,tidak
373,oktober,SINAR CONTINENTAL,EXP CORPORATE,151,5342000,potensial
374,oktober,FAMILY ONLINE SHOP,EXP CORPORATE,142,1996300,potensial
375,oktober,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,466,608373500,potensial
376,oktober,PERIJINAN PEMKAB BANDUNG,SKH,39,395500,tidak
377,oktober,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
378,oktober,WOM FINANCE,SKH,134,846000,tidak
379,oktober,ADIRA DINAMIKA FINANCE,SKH,5,225000,tidak
380,oktober,BPKAD,SKH,0,0,tidak
381,oktober,BAPENDA,SKH,74,1247500,potensial
382,oktober,PD ANANG,LOGISTIK,0,0,tidak
383,oktober,BPJS KIS PBI,SKH,0,0,tidak
384,oktober,BPJS KESEHATAN,SKH,896,582000,potensial
385,oktober,BLBI ABIYOSO,PPKH,1150,51330000,potensial
386,oktober,BPKP JABAR,SKH,225,2328000,tidak
387,oktober,RSUD CIBABAT,EXP CORPORATE,0,0,tidak
388,oktober,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
389,oktober,BPJS KETENAGAKERJAAN,SKH,165,1250500,tidak
390,oktober,KPP PRATAMA SOREANG,SKH,5500,26356500,potensial
391,oktober,KPP PRATAMA CIMAHI,SKH,11216,72890500,potensial
392,oktober,ULTRAJAYA MILK INDUSTRY,SKH,404,18125000,potensial
